,Train Loss,Validation Loss,Train accuracy,Validation accuracy
0,0.6185340881347656,0.495032399892807,0.6614583134651184,0.78125
1,0.5722431540489197,0.5289251804351807,0.6979166865348816,0.7291666865348816
2,0.5242301225662231,0.4642593562602997,0.7473958134651184,0.8020833134651184
3,0.4900819957256317,0.4179825782775879,0.7447916865348816,0.7916666865348816
4,0.41264304518699646,0.36856770515441895,0.7994791865348816,0.8125
5,0.4068170487880707,0.43067577481269836,0.7994791865348816,0.7708333134651184
6,0.3610355854034424,0.26836445927619934,0.8203125,0.8854166865348816
7,0.34206148982048035,0.24687229096889496,0.8515625,0.9166666865348816
8,0.28962191939353943,0.30531466007232666,0.8697916865348816,0.84375
9,0.2787298262119293,0.24242107570171356,0.8671875,0.8958333134651184
10,0.22922863066196442,0.23449592292308807,0.9088541865348816,0.8854166865348816
11,0.25568345189094543,0.2985210418701172,0.8880208134651184,0.8645833134651184
12,0.2164965271949768,0.14839836955070496,0.9114583134651184,0.9479166865348816
13,0.1296013444662094,0.07494296133518219,0.9557291865348816,0.9791666865348816
14,0.0792752355337143,0.08674248307943344,0.9713541865348816,0.9791666865348816
15,0.06787490099668503,0.11924386024475098,0.9817708134651184,0.96875
16,0.08529361337423325,0.02191075123846531,0.96875,0.9895833134651184
17,0.06625629216432571,0.09050426632165909,0.96875,0.96875
18,0.054194170981645584,0.03654394671320915,0.9791666865348816,1.0
19,0.02788875252008438,0.022231684997677803,0.9921875,1.0
20,0.030909759923815727,0.015117992646992207,0.9895833134651184,1.0
21,0.022305192425847054,0.012841388583183289,0.9947916865348816,1.0
22,0.007787962909787893,0.009223368018865585,1.0,1.0
23,0.006362050771713257,0.003719138680025935,1.0,1.0
24,0.005396550986915827,0.013102938421070576,1.0,0.9895833134651184
25,0.00582923972979188,0.008250161074101925,1.0,1.0
26,0.013266026973724365,0.005713656544685364,0.9973958134651184,1.0
27,0.004353038500994444,0.0044603669084608555,1.0,1.0
28,0.007253068033605814,0.0019578244537115097,0.9973958134651184,1.0
29,0.0027073873206973076,0.0014280183240771294,1.0,1.0
30,0.0012539647286757827,0.0011313428403809667,1.0,1.0
31,0.0026396673638373613,0.0010106830159202218,1.0,1.0
32,0.0009842001600190997,0.0008432261529378593,1.0,1.0
33,0.0008573094964958727,0.0002021204709308222,1.0,1.0
34,0.0007510176510550082,0.00021412612113635987,1.0,1.0
35,0.0004227049939800054,0.00023601220163982362,1.0,1.0
36,0.0007059960626065731,0.00028778574778698385,1.0,1.0
37,0.00043796643149107695,0.0002563561138231307,1.0,1.0
38,0.0004371476825326681,0.00012369923933874816,1.0,1.0
39,0.0004911163705401123,0.0001562633115099743,1.0,1.0
40,0.0004334797849878669,0.0003567326348274946,1.0,1.0
41,0.0003876219561789185,0.00014130963245406747,1.0,1.0
42,0.00021162390476092696,0.00028833214309997857,1.0,1.0
43,0.00029830116545781493,9.10619564820081e-05,1.0,1.0
44,0.00027268470148555934,0.00014648509386461228,1.0,1.0
45,0.00010695021046558395,7.442649803124368e-05,1.0,1.0
46,0.0002574257378000766,8.82820095284842e-05,1.0,1.0
47,0.0003358189424034208,0.00022467231610789895,1.0,1.0
48,0.00040912380791269243,3.740476313396357e-05,1.0,1.0
49,0.00011532080679899082,0.00015889522910583764,1.0,1.0
