,Train Loss,Validation Loss,Train accuracy,Validation accuracy
0,0.610515832901001,0.4588082730770111,0.6588541865348816,0.7916666865348816
1,0.5330554842948914,0.4550643265247345,0.7265625,0.7916666865348816
2,0.4863121211528778,0.5037323832511902,0.7760416865348816,0.7083333134651184
3,0.4403751790523529,0.4127553403377533,0.8046875,0.8229166865348816
4,0.4541717767715454,0.4624296724796295,0.7864583134651184,0.78125
5,0.44092968106269836,0.4743008613586426,0.7942708134651184,0.8020833134651184
6,0.4160420000553131,0.3397331237792969,0.8229166865348816,0.8125
7,0.35752639174461365,0.3264356553554535,0.8463541865348816,0.8645833134651184
8,0.3103387951850891,0.22582805156707764,0.859375,0.9270833134651184
9,0.28131532669067383,0.19868189096450806,0.8828125,0.9270833134651184
10,0.2237698882818222,0.14509665966033936,0.9244791865348816,0.9479166865348816
11,0.20593227446079254,0.17652170360088348,0.9036458134651184,0.9375
12,0.1559414118528366,0.09138685464859009,0.9609375,0.9895833134651184
13,0.13608472049236298,0.088728167116642,0.9453125,0.96875
14,0.08526239544153214,0.04529464244842529,0.96875,0.9895833134651184
15,0.06830200552940369,0.022629255428910255,0.9739583134651184,1.0
16,0.0425722636282444,0.03242732211947441,0.9869791865348816,0.9895833134651184
17,0.026223910972476006,0.03435898944735527,0.9921875,0.9895833134651184
18,0.02277396060526371,0.005338022019714117,0.9947916865348816,1.0
19,0.013122700154781342,0.005643728654831648,0.9973958134651184,1.0
20,0.009804424829781055,0.003717264160513878,0.9973958134651184,1.0
21,0.004549086559563875,0.004738707561045885,1.0,1.0
22,0.004173057619482279,0.0012927859788760543,1.0,1.0
23,0.0033144301269203424,0.0024287006817758083,1.0,1.0
24,0.001897218986414373,0.003821838879957795,1.0,1.0
25,0.0026308789383620024,0.0016655297949910164,1.0,1.0
26,0.0014945477014407516,0.0004892295692116022,1.0,1.0
27,0.0009101198520511389,0.0005656944122165442,1.0,1.0
28,0.001052574603818357,0.0008505780133418739,1.0,1.0
29,0.0005270937690511346,0.0001379130844725296,1.0,1.0
30,0.0006123615312390029,0.0004683992883656174,1.0,1.0
31,0.00035096239298582077,0.0001227048778673634,1.0,1.0
32,0.0002669212990440428,0.00022734947560820729,1.0,1.0
33,0.0006280087400227785,0.00010877547902055085,1.0,1.0
34,0.0003936119901482016,3.906639540218748e-05,1.0,1.0
35,0.0005749828414991498,0.000524657778441906,1.0,1.0
36,0.0003503035695757717,6.194644083734602e-05,1.0,1.0
37,0.0001819074823288247,0.000302371772704646,1.0,1.0
38,0.00016603262338321656,0.0003794315562117845,1.0,1.0
39,0.00021314364857971668,0.00022199480736162513,1.0,1.0
40,0.00015346398868132383,5.66162598261144e-05,1.0,1.0
41,0.00018533285765442997,0.0001441986532881856,1.0,1.0
42,0.00018544482009019703,0.0001339216105407104,1.0,1.0
43,0.00015255426114890724,0.00013130948354955763,1.0,1.0
44,0.0002089643821818754,0.00017768247926142067,1.0,1.0
45,0.00013093672168906778,0.0001433438592357561,1.0,1.0
46,0.00011565113527467474,5.481279731611721e-05,1.0,1.0
47,0.00012622855138033628,9.843599400483072e-05,1.0,1.0
48,0.00019384054758120328,0.00018700072541832924,1.0,1.0
49,0.0001293007080676034,0.00011324394290568307,1.0,1.0
